iter	Passed	Remaining
0	244	48629
1	502	49745
2	753	49484
3	1019	49938
4	1270	49554
5	1523	49255
6	1777	49007
7	2036	48870
8	2292	48645
9	2550	48463
10	2817	48414
11	3081	48274
12	3338	48022
13	3596	47779
14	3852	47510
15	4109	47260
16	4367	47016
17	4622	46742
18	4886	46549
19	5146	46317
20	5401	46038
21	5660	45799
22	5914	45515
23	6168	45235
24	6424	44970
25	6678	44696
26	6939	44462
27	7198	44216
28	7458	43977
29	7711	43698
30	7965	43427
31	8220	43159
32	8480	42917
33	8735	42651
34	8992	42393
35	9251	42146
36	9509	41894
37	9773	41665
38	10044	41465
39	10334	41336
40	10589	41066
41	10843	40792
42	11099	40527
43	11354	40256
44	11613	40003
45	11867	39730
46	12125	39471
47	12377	39194
48	12631	38926
49	12887	38662
50	13142	38397
51	13399	38136
52	13650	37861
53	13907	37600
54	14168	37353
55	14424	37091
56	14678	36825
57	14935	36566
58	15188	36298
59	15451	36053
60	15706	35790
61	15960	35524
62	16217	35265
63	16471	35001
64	16730	34748
65	16991	34497
66	17250	34244
67	17504	33979
68	17758	33715
69	18014	33456
70	18271	33197
71	18522	32929
72	18779	32670
73	19031	32405
74	19292	32154
75	19548	31894
76	19797	31625
77	20053	31365
78	20308	31105
79	20567	30851
80	20823	30592
81	21075	30327
82	21332	30070
83	21585	29809
84	21839	29548
85	22099	29294
86	22354	29035
87	22609	28776
88	22867	28520
89	23128	28267
90	23387	28013
91	23641	27753
92	23899	27496
93	24155	27238
94	24418	26988
95	24675	26732
96	24930	26472
97	25192	26220
98	25451	25965
99	25710	25710
100	25963	25449
101	26217	25189
102	26474	24932
103	26726	24670
104	26977	24408
105	27234	24151
106	27492	23895
107	27746	23635
108	28014	23388
109	28292	23148
110	28628	22954
111	28907	22712
112	29234	22507
113	29515	22265
114	29799	22025
115	30093	21792
116	30380	21551
117	30660	21306
118	30944	21063
119	31222	20814
120	31498	20565
121	31761	20306
122	32054	20066
123	32342	19822
124	32624	19574
125	32938	19344
126	33268	19122
127	33574	18885
128	33935	18677
129	34230	18431
130	34523	18184
131	34823	17939
132	35104	17684
133	35385	17428
134	35662	17170
135	35925	16906
136	36204	16648
137	36480	16389
138	36747	16126
139	37015	15863
140	37290	15603
141	37558	15340
142	37820	15075
143	38081	14809
144	38340	14542
145	38609	14280
146	38873	14015
147	39142	13752
148	39405	13487
149	39675	13225
150	39934	12959
151	40196	12693
152	40460	12429
153	40722	12163
154	40985	11898
155	41243	11632
156	41505	11367
157	41763	11101
158	42025	10836
159	42285	10571
160	42550	10307
161	42812	10042
162	43074	9777
163	43338	9513
164	43601	9248
165	43868	8985
166	44126	8719
167	44386	8454
168	44644	8189
169	44902	7923
170	45162	7659
171	45421	7394
172	45680	7129
173	45941	6864
174	46197	6599
175	46454	6334
176	46709	6069
177	46969	5805
178	47228	5540
179	47489	5276
180	47752	5012
181	48011	4748
182	48271	4484
183	48528	4219
184	48783	3955
185	49044	3691
186	49299	3427
187	49557	3163
188	49815	2899
189	50072	2635
190	50329	2371
191	50589	2107
192	50849	1844
193	51116	1580
194	51374	1317
195	51632	1053
196	51889	790
197	52149	526
198	52406	263
199	52666	0
