iter	Passed	Remaining
0	10	5341
1	21	5337
2	32	5306
3	42	5223
4	52	5176
5	61	5059
6	70	4950
7	80	4924
8	95	5216
9	106	5217
10	115	5139
11	125	5100
12	133	4995
13	141	4918
14	149	4830
15	157	4774
16	165	4703
17	174	4663
18	183	4637
19	191	4607
20	200	4571
21	209	4549
22	218	4529
23	226	4498
24	234	4463
25	243	4441
26	254	4451
27	263	4441
28	272	4430
29	281	4408
30	289	4381
31	297	4353
32	306	4339
33	315	4321
34	324	4305
35	333	4292
36	341	4276
37	349	4249
38	358	4234
39	366	4212
40	375	4199
41	382	4174
42	391	4157
43	399	4138
44	409	4141
45	419	4138
46	428	4125
47	436	4109
48	444	4087
49	452	4074
50	460	4055
51	469	4042
52	477	4024
53	485	4008
54	493	3990
55	501	3972
56	508	3954
57	516	3938
58	525	3927
59	533	3914
60	542	3907
61	551	3895
62	561	3893
63	573	3909
64	582	3895
65	590	3883
66	598	3867
67	606	3852
68	614	3837
69	622	3826
70	631	3813
71	639	3801
72	647	3787
73	656	3780
74	665	3768
75	673	3755
76	681	3744
77	689	3732
78	698	3721
79	706	3709
80	716	3704
81	724	3694
82	733	3686
83	741	3674
84	750	3663
85	759	3655
86	767	3645
87	775	3632
88	784	3624
89	792	3611
90	801	3601
91	809	3589
92	817	3578
93	825	3567
94	834	3556
95	842	3544
96	851	3536
97	858	3523
98	868	3518
99	879	3516
100	888	3510
101	897	3502
102	905	3490
103	914	3481
104	922	3469
105	930	3460
106	938	3448
107	947	3438
108	955	3426
109	963	3416
110	972	3406
111	980	3397
112	988	3385
113	996	3375
114	1004	3363
115	1013	3354
116	1021	3342
117	1030	3336
118	1039	3327
119	1049	3322
120	1059	3319
121	1071	3319
122	1079	3310
123	1087	3298
124	1096	3289
125	1104	3278
126	1112	3268
127	1120	3257
128	1129	3247
129	1137	3237
130	1145	3227
131	1153	3216
132	1162	3208
133	1171	3200
134	1180	3192
135	1189	3183
136	1197	3174
137	1206	3165
138	1215	3157
139	1225	3152
140	1234	3143
141	1243	3134
142	1251	3124
143	1260	3116
144	1268	3106
145	1279	3101
146	1287	3092
147	1297	3084
148	1306	3077
149	1314	3067
150	1323	3059
151	1332	3050
152	1341	3042
153	1349	3031
154	1359	3025
155	1367	3015
156	1377	3009
157	1388	3004
158	1397	2997
159	1407	2990
160	1415	2980
161	1424	2972
162	1433	2963
163	1442	2954
164	1450	2945
165	1460	2938
166	1469	2929
167	1478	2920
168	1487	2912
169	1495	2903
170	1504	2894
171	1512	2884
172	1521	2876
173	1530	2867
174	1541	2861
175	1551	2855
176	1559	2845
177	1568	2837
178	1577	2829
179	1587	2822
180	1595	2812
181	1605	2804
182	1613	2794
183	1622	2786
184	1632	2779
185	1641	2771
186	1650	2762
187	1659	2753
188	1668	2745
189	1677	2736
190	1686	2728
191	1698	2725
192	1708	2717
193	1717	2708
194	1725	2699
195	1735	2691
196	1743	2681
197	1752	2673
198	1761	2663
199	1770	2656
200	1780	2647
201	1788	2639
202	1798	2630
203	1806	2620
204	1815	2612
205	1823	2603
206	1833	2595
207	1842	2586
208	1854	2582
209	1864	2575
210	1873	2566
211	1883	2558
212	1892	2550
213	1902	2543
214	1912	2534
215	1921	2526
216	1931	2519
217	1941	2511
218	1951	2503
219	1962	2497
220	1972	2489
221	1982	2482
222	1992	2475
223	2003	2469
224	2015	2463
225	2026	2456
226	2036	2449
227	2046	2441
228	2055	2432
229	2065	2424
230	2074	2416
231	2084	2408
232	2094	2400
233	2104	2391
234	2115	2385
235	2125	2377
236	2134	2368
237	2144	2360
238	2153	2351
239	2163	2343
240	2172	2334
241	2183	2327
242	2193	2320
243	2202	2311
244	2213	2303
245	2223	2296
246	2234	2288
247	2245	2281
248	2254	2272
249	2264	2264
250	2274	2256
251	2283	2247
252	2294	2239
253	2304	2231
254	2314	2223
255	2324	2215
256	2335	2208
257	2346	2200
258	2356	2192
259	2365	2183
260	2375	2175
261	2386	2167
262	2395	2159
263	2406	2150
264	2415	2142
265	2425	2133
266	2434	2124
267	2444	2115
268	2453	2107
269	2462	2097
270	2472	2089
271	2480	2079
272	2492	2072
273	2502	2063
274	2511	2054
275	2520	2045
276	2528	2035
277	2538	2027
278	2547	2018
279	2557	2009
280	2565	1999
281	2574	1990
282	2584	1981
283	2593	1972
284	2602	1963
285	2612	1954
286	2621	1945
287	2633	1938
288	2644	1931
289	2655	1922
290	2664	1913
291	2673	1904
292	2682	1895
293	2691	1885
294	2701	1877
295	2710	1868
296	2720	1859
297	2730	1850
298	2739	1841
299	2749	1832
300	2759	1824
301	2770	1816
302	2780	1807
303	2790	1799
304	2802	1791
305	2813	1783
306	2824	1775
307	2834	1766
308	2844	1758
309	2854	1749
310	2864	1740
311	2874	1732
312	2885	1723
313	2895	1715
314	2905	1706
315	2914	1697
316	2924	1688
317	2933	1679
318	2944	1670
319	2954	1661
320	2968	1655
321	2978	1646
322	2987	1637
323	2996	1627
324	3005	1618
325	3015	1609
326	3026	1601
327	3035	1591
328	3044	1582
329	3055	1573
330	3065	1565
331	3076	1556
332	3086	1548
333	3098	1540
334	3108	1530
335	3117	1521
336	3128	1513
337	3138	1504
338	3147	1494
339	3157	1485
340	3165	1476
341	3175	1467
342	3186	1458
343	3196	1449
344	3207	1441
345	3216	1431
346	3226	1422
347	3235	1413
348	3245	1404
349	3254	1394
350	3264	1385
351	3275	1376
352	3283	1367
353	3294	1358
354	3303	1349
355	3312	1339
356	3321	1330
357	3331	1321
358	3341	1312
359	3350	1302
360	3360	1293
361	3370	1284
362	3378	1275
363	3387	1265
364	3395	1256
365	3404	1246
366	3413	1237
367	3424	1228
368	3436	1219
369	3446	1211
370	3456	1201
371	3465	1192
372	3474	1182
373	3484	1173
374	3493	1164
375	3503	1155
376	3512	1146
377	3523	1137
378	3534	1128
379	3544	1119
380	3554	1110
381	3564	1101
382	3575	1092
383	3585	1083
384	3597	1074
385	3609	1065
386	3619	1056
387	3630	1047
388	3639	1038
389	3649	1029
390	3658	1019
391	3668	1010
392	3678	1001
393	3687	992
394	3697	982
395	3706	973
396	3717	964
397	3727	955
398	3736	945
399	3748	937
400	3760	928
401	3771	919
402	3780	910
403	3789	900
404	3800	891
405	3809	881
406	3818	872
407	3828	863
408	3838	853
409	3848	844
410	3857	835
411	3867	826
412	3877	816
413	3887	807
414	3896	798
415	3907	789
416	3919	780
417	3927	770
418	3937	761
419	3947	751
420	3958	742
421	3967	733
422	3977	724
423	3987	714
424	3997	705
425	4006	696
426	4015	686
427	4024	677
428	4033	667
429	4042	658
430	4051	648
431	4059	639
432	4071	629
433	4080	620
434	4090	611
435	4098	601
436	4107	592
437	4115	582
438	4125	573
439	4133	563
440	4143	554
441	4152	544
442	4162	535
443	4172	526
444	4181	516
445	4190	507
446	4198	497
447	4207	488
448	4216	478
449	4227	469
450	4237	460
451	4246	450
452	4256	441
453	4264	432
454	4273	422
455	4281	413
456	4290	403
457	4298	394
458	4307	384
459	4315	375
460	4325	365
461	4334	356
462	4343	347
