iter	RMSE
0	296.8012577
1	231.562805
2	193.5919442
3	171.1759624
4	159.4071183
5	151.3287992
6	146.5477028
7	143.092546
8	139.9818779
9	137.8375001
10	136.2093704
11	134.4158099
12	133.6596449
13	132.3051531
14	130.2590666
15	129.2778543
16	128.7073273
17	128.033812
18	127.1492529
19	126.7387317
20	125.6410454
21	124.297498
22	123.5489436
23	122.589973
24	122.0738448
25	121.3979817
26	120.2906552
27	119.3792854
28	118.495716
29	117.6854848
30	117.3242547
31	116.9013847
32	116.0844754
33	114.9887996
34	114.440348
35	113.878937
36	113.3154482
37	112.841868
38	112.3678558
39	111.6141027
40	111.1105691
41	110.7587036
42	110.5636321
43	110.0157618
44	109.600828
45	109.2616911
46	108.8899168
47	108.33364
48	107.9402988
49	107.4235192
50	106.9608135
51	106.4975148
52	105.9204474
53	105.6276835
54	105.3008441
55	105.0141409
56	104.6505635
57	104.3077167
58	104.0346171
59	103.54838
60	103.2996521
61	103.1039615
62	102.6346773
63	102.4746161
64	101.9317011
65	101.6487751
66	101.3478042
67	100.9469143
68	100.5502773
69	100.3827728
70	100.1635397
71	99.80671533
72	99.57568063
73	99.28330252
74	98.99155879
75	98.66172204
76	98.28569703
77	98.13806103
78	97.89356873
79	97.68848603
80	97.54998477
81	97.22171101
82	97.07097542
83	96.96601452
84	96.67620896
85	96.43283438
86	96.20588734
87	95.95296886
88	95.68608482
89	95.58147351
90	95.18875817
91	94.8422923
92	94.70012858
93	94.41244773
94	94.31572494
95	93.88869404
96	93.59520202
97	93.47308285
98	93.19744063
99	93.05576471
