iter	RMSE
0	1.121788222
1	1.065758431
2	1.009836005
3	0.957431168
4	0.91504437
5	0.8726668674
6	0.8360021731
7	0.8010950996
8	0.7698963503
9	0.7460815475
10	0.7195750719
11	0.6965153576
12	0.6728387543
13	0.6554173232
14	0.6389855784
15	0.6229636754
16	0.607777948
17	0.5936479556
18	0.5824925489
19	0.5714368987
20	0.5621749716
21	0.5527397097
22	0.5455696792
23	0.5347201365
24	0.5287128714
25	0.5232375166
26	0.5188323807
27	0.5138432543
28	0.5085982466
29	0.5022786358
30	0.4980858432
31	0.4939900385
32	0.4896512656
33	0.4844907341
34	0.480872813
35	0.4785192798
36	0.474677707
37	0.4714949543
38	0.4673135983
39	0.4627195046
40	0.4603716659
41	0.4575329128
42	0.4545523108
43	0.4521796865
44	0.450030887
45	0.4470852427
46	0.4438431475
47	0.4417117967
48	0.4394340088
49	0.4364815827
50	0.4356079315
51	0.4333361514
52	0.4322082118
53	0.4300438348
54	0.4283357508
55	0.425942846
56	0.4252949679
57	0.4230579629
58	0.4208883295
59	0.418665709
60	0.4158997671
61	0.4132948931
62	0.4122107775
63	0.4110907322
64	0.4086945031
65	0.4070442497
66	0.405575935
67	0.4035794146
68	0.4017271977
69	0.4007420742
70	0.3985144854
71	0.3968040915
72	0.3949244741
73	0.3928154666
74	0.3917721682
75	0.3906005423
76	0.3894914696
77	0.3879173606
78	0.3860865892
79	0.3842167162
80	0.3829413582
81	0.3813335681
82	0.3796210145
83	0.3785886684
84	0.3769418709
85	0.3753110411
86	0.3734777537
87	0.3717121836
88	0.3702879287
89	0.3688821331
90	0.3678549435
91	0.3664827177
92	0.3647881356
93	0.3632531169
94	0.3620306738
95	0.3607247559
96	0.3590894798
97	0.3579931376
98	0.3566894923
99	0.3555664744
100	0.3540459568
101	0.3528300598
102	0.3527736092
103	0.3508121831
104	0.3491854896
105	0.3476657243
106	0.3463205102
107	0.3452882191
108	0.3438637972
109	0.3424115908
110	0.3406776043
111	0.3397203881
112	0.3378106184
113	0.3362208625
114	0.3349409864
115	0.332658645
116	0.331554002
117	0.330540185
118	0.3290343943
119	0.3274572347
120	0.3265909831
121	0.3250243215
122	0.3240045141
123	0.3227754474
124	0.32088363
125	0.319306702
126	0.3175957266
127	0.3163969562
128	0.3153664807
129	0.3144586787
130	0.3135653392
131	0.3122173704
132	0.3113252078
133	0.3100418744
134	0.3098450485
135	0.3087757525
136	0.3086229802
137	0.308012615
138	0.307882907
139	0.3064775859
140	0.3055440108
141	0.3039264623
142	0.3025029191
143	0.3013309002
144	0.3012073563
145	0.3004017556
146	0.2987823068
147	0.2981934086
148	0.2966941723
149	0.2957957618
150	0.2951186528
151	0.2938258427
152	0.2927989976
153	0.292075561
154	0.2913803027
155	0.2904028612
156	0.2895988137
157	0.289028179
158	0.2883506048
159	0.2874530729
160	0.285846096
161	0.284913161
162	0.2841474194
163	0.2830460536
164	0.2822086451
165	0.2817519555
166	0.2810743956
167	0.2795777368
168	0.2790140295
169	0.2783070687
170	0.2776735312
171	0.2769747036
172	0.2758693382
173	0.2746755238
174	0.2740760905
175	0.2731792325
176	0.2724166624
177	0.2718381721
178	0.2712760218
179	0.2707429656
180	0.2696778139
181	0.2686304076
182	0.2679305397
183	0.2669040269
184	0.2663809792
185	0.2656599251
186	0.2650828939
187	0.264517845
188	0.2634645517
189	0.2633872218
190	0.2626099726
191	0.262496754
192	0.2617096807
193	0.2612462754
194	0.260687595
195	0.2598289349
196	0.259425736
197	0.2588554317
198	0.2579379184
199	0.2570501769
200	0.2564548087
201	0.2558622869
202	0.2553274205
203	0.2545680045
204	0.2540915572
205	0.2534933593
206	0.2526475783
207	0.2521519576
208	0.2514187581
209	0.2509156811
210	0.2505447026
211	0.2501639615
212	0.2494979996
213	0.2487567276
214	0.2484421032
215	0.2476644689
216	0.2470691913
217	0.246547597
218	0.2462999187
219	0.2458668144
220	0.2455085467
221	0.2454489847
222	0.2450522888
223	0.2448969383
224	0.2442002283
225	0.2436130106
226	0.2432450865
227	0.2426850168
228	0.2419378703
229	0.2411018922
230	0.2403233369
231	0.2397976845
232	0.2395397027
233	0.2385723208
234	0.238124431
235	0.2375967271
236	0.237395747
237	0.2367782659
238	0.2361395491
239	0.2355359391
240	0.2355036431
241	0.235019523
242	0.2347410177
243	0.2342355197
244	0.233661801
245	0.2330408341
246	0.2325353253
247	0.2319214407
248	0.2314428086
249	0.2308188811
250	0.2303648375
251	0.2295918596
252	0.2291187486
253	0.2285592562
254	0.2280465502
255	0.2275386654
256	0.2271777799
257	0.2265460803
258	0.2259770459
259	0.2252647492
260	0.2244917067
261	0.2242136929
262	0.2236991187
263	0.2234745623
264	0.2229554544
265	0.2222966246
266	0.221656827
267	0.2211886814
268	0.2206173605
269	0.220073206
270	0.2200361107
271	0.2195869625
272	0.2192818474
273	0.2191889463
274	0.2186940887
275	0.217951282
276	0.2175646083
277	0.2172705144
278	0.2166828518
279	0.2165690011
280	0.2160390205
281	0.215627145
282	0.2154140105
283	0.2150647841
284	0.2145533095
285	0.2144567067
286	0.2142078102
287	0.2135418291
288	0.212920842
289	0.2125924104
290	0.2118558304
291	0.2114993532
292	0.2109388566
293	0.2109182212
294	0.2104589591
295	0.210113893
296	0.209778269
297	0.2092617413
298	0.2087783799
299	0.2081383225
300	0.2076167092
301	0.2073039273
302	0.206852607
303	0.2061879924
304	0.2057906446
305	0.2055898614
306	0.2049327278
307	0.2043622332
308	0.2039510325
309	0.2034549037
310	0.2030447914
311	0.2027160143
312	0.2023774283
313	0.202059289
314	0.2017500092
315	0.2012139711
316	0.2005621021
317	0.2002592692
318	0.200171685
319	0.1996170806
320	0.1993049782
321	0.1988203825
322	0.1988053221
323	0.1983773227
324	0.1980108587
325	0.1976379099
326	0.1973811297
327	0.19693137
328	0.1966216782
329	0.1960110041
330	0.1955346933
331	0.1952313309
332	0.1947583731
333	0.1941668836
334	0.1936552233
335	0.1932664457
336	0.1929574266
337	0.1924697373
338	0.1921864193
339	0.1918516004
340	0.1917656232
341	0.191325865
342	0.1906489818
343	0.1902789255
344	0.1899118675
345	0.1894568759
346	0.1892267501
347	0.1886263992
348	0.1883203098
349	0.1880141334
350	0.187589274
351	0.1872994328
352	0.1872860847
353	0.1869729562
354	0.1867427816
355	0.1863904589
356	0.1862029001
357	0.1860040184
358	0.1857682625
359	0.1853063095
360	0.1849394131
361	0.1845311655
362	0.1841118544
363	0.1837116418
364	0.1834456977
365	0.1830424516
366	0.1825632943
367	0.182227227
368	0.1818739611
369	0.1816726974
370	0.1812930575
371	0.1807488395
372	0.1803017487
373	0.1798242567
374	0.179613751
375	0.1793698286
376	0.1791491764
377	0.1790126832
378	0.1788203145
379	0.1783384178
380	0.1781288591
381	0.1780927298
382	0.1779852543
383	0.1777138945
384	0.1774052081
385	0.1771307126
386	0.1767433444
387	0.1764651887
388	0.1759973514
389	0.1757399378
390	0.1755226929
391	0.1751068573
392	0.1749511019
393	0.1745578189
394	0.1739134868
395	0.1736250158
396	0.1730856162
397	0.1728533265
398	0.1727247828
399	0.1726225371
400	0.1723111844
401	0.1720329026
402	0.1717175845
403	0.1714259165
404	0.1710131529
405	0.1707472737
406	0.1703969932
407	0.170030098
408	0.1697620196
409	0.1693227018
410	0.1688793609
411	0.1685618366
412	0.1684937114
413	0.168137322
414	0.1679957818
415	0.1676633522
416	0.1673630572
417	0.1671167862
418	0.1667810913
419	0.1664846326
420	0.16630554
421	0.1658552716
422	0.1656108433
423	0.1653719197
424	0.1651210292
425	0.1647661062
426	0.1644124983
427	0.1640561501
428	0.1639269
429	0.1636582298
430	0.1634479966
431	0.1629778324
432	0.1629345025
433	0.1628526163
434	0.1627369709
435	0.1623619155
436	0.162019287
437	0.1617477075
438	0.1617162826
439	0.1615287881
440	0.1613358024
441	0.1611157316
442	0.1609090663
443	0.1607176774
444	0.160463095
445	0.1600279887
446	0.1597023728
447	0.1594183779
448	0.1591743272
449	0.1587163223
450	0.1585757588
451	0.1580786402
452	0.1579208291
453	0.1578731568
454	0.1576943227
455	0.157611106
456	0.1574710163
457	0.157007686
458	0.1566052256
459	0.1565308439
460	0.1561819601
461	0.1561630667
462	0.1557212324
463	0.1557079262
464	0.1555383098
465	0.1554658519
466	0.1552070711
467	0.1546968588
468	0.1543257833
469	0.1542966315
